,title,engine_fuel,engine_volume,transmition,drive_unit,region,link,price_uan,price_usd
0,Audi S6 2020  Basis 3.0 TDI Tiptronic (349 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s6-1861795.html,3 109 136 грн,112969
1,Audi Q7 2021  Basis 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1861727.html,2 734 919 грн,99372
2,Audi Q8 2021  S-Line 55 TFSI Tip-tronic (340 к.с) Quattro,Бензин,3.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q8-1861720.html,2 980 416 грн,108292
3,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1860578.html,4 911 499 грн,177777
4,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Дніпро (Дніпропетровськ),https://auto.ria.com/newauto/auto-audi-rs-q8-1857950.html,4 221 316 грн,152324
5,Audi Q5 2020  Basis 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-q5-1858486.html,1 993 120 грн,72601
6,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1861232.html,2 500 271 грн,90500
7,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1861237.html,2 519 610 грн,91200
8,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Дніпро (Дніпропетровськ),https://auto.ria.com/newauto/auto-audi-q7-1859458.html,2 362 472 грн,85249
9,Audi Q5 2021  Basis 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Одеса,https://auto.ria.com/newauto/auto-audi-q5-1861907.html,1 882 583 грн,68142
10,Audi A8 2021  Individual L 50 TDI Tip-tronic (286 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-a8-1860983.html,2 440 473 грн,88896
11,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1861235.html,2 445 016 грн,88500
12,Audi Q8 2020  S-Line 50 TDI MHEV Tip-tronic (286 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Дніпро (Дніпропетровськ),https://auto.ria.com/newauto/auto-audi-q8-1857334.html,2 724 494 грн,98616
13,Audi Q5 2020  Basis 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-q5-1858973.html,1 993 120 грн,72601
14,Audi A6 2021  Sport 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-a6-1861852.html,1 926 534 грн,70176
15,Audi SQ7 2021  Basis 4.0 TFSI Tip-tronic (507 к.с) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-sq7-1861456.html,3 714 325 грн,134444
16,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1856847.html,6 641 386 грн,240392
17,Audi Q2 2021   35 TFSI S-Tronic (150 к.с),Бензин,1.5 л,Автомат,Передній привід,Дніпро (Дніпропетровськ),https://auto.ria.com/newauto/auto-audi-q2-1860601.html,1 325 321 грн,47824
18,Audi Q8 2021  Basis 50 TDI MHEV Tip-tronic (286 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-q8-1861116.html,90 524 $,90524
19,Audi A8 2021   L 50 TDI Tip-tronic (286 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Дніпро (Дніпропетровськ),https://auto.ria.com/newauto/auto-audi-a8-1858780.html,90 588 $,90588
20,Audi A8 2021   L 50 TDI Tip-tronic (286 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Дніпро (Дніпропетровськ),https://auto.ria.com/newauto/auto-audi-a8-1858780.html,90 588 $,90588
21,Audi Q8 2021  S-Line 50 TDI MHEV Tip-tronic (286 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Дніпро (Дніпропетровськ),https://auto.ria.com/newauto/auto-audi-q8-1861458.html,3 022 002 грн,109047
22,Audi Q8 2021  S-Line 50 TDI MHEV Tip-tronic (286 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Харків,https://auto.ria.com/newauto/auto-audi-q8-1860440.html,2 766 788 грн,100147
23,Audi e-tron Sportback 2021  Base 50 E-CVT 71kWh (313 к.с.) Quattro,Електро,Електро,Автомат,Повний привід,Харків,https://auto.ria.com/newauto/auto-audi-e-tron-sportback-1859998.html,2 374 045 грн,85931
24,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Одеса,https://auto.ria.com/newauto/auto-audi-q7-1859935.html,2 536 242 грн,91802
25,Audi Q7 2021  Basis 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-q7-1861140.html,2 349 081 грн,85567
26,Audi Q3 2021  S-Line 35 TFSI S-tronic (150 к.с),Бензин,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-audi-q3-1861582.html,1 478 061 грн,53500
27,Audi e-tron 2021  Advanced 95kWh (408 к.с) Quattro,Електро,Електро,Варіатор,Повний привід,Одеса,https://auto.ria.com/newauto/auto-audi-e-tron-1859194.html,2 486 348 грн,89996
28,Audi SQ8 2021  Basis 4.0 TDI Tiptronic (435 к.с) Quattro,Дизель,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-sq8-1824568.html,4 839 201 грн,175160
29,Audi Q2 2021   35 TFSI S-Tronic (150 к.с),Бензин,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-audi-q2-1861653.html,1 353 308 грн,48984
30,Audi S8 2021  Basis 4.0 TFSI Tiptronic (571 л.c.) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s8-1861644.html,4 082 216 грн,147760
31,Audi Q5 2020  S-Line 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Харків,https://auto.ria.com/newauto/auto-audi-q5-1861856.html,1 985 741 грн,71876
32,Audi Q3 2021  Basis Sportback 35 TFSI S-tronic (150 к.с),Бензин,1.5 л,Автомат,Передній привід,Дніпро (Дніпропетровськ),https://auto.ria.com/newauto/auto-audi-q3-1858066.html,1 274 336 грн,45984
33,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Одеса,https://auto.ria.com/newauto/auto-audi-q7-1860967.html,2 666 199 грн,96506
34,Audi A4 2021  Basis 40 TFSI S-tronic (190 к.с),Бензин,2.0 л,Автомат,Передній привід,Дніпро (Дніпропетровськ),https://auto.ria.com/newauto/auto-audi-a4-1861322.html,1 231 083 грн,44423
35,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1856719.html,6 674 726 грн,241599
36,Audi SQ7 2021  Basis 4.0 TDI Tip-tronic (435 к.с) Quattro,Дизель,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-sq7-1833752.html,5 106 158 грн,184823
37,Audi e-tron 2021  Advanced 95kWh (408 к.с) Quattro,Електро,Електро,Варіатор,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-e-tron-1861072.html,2 800 016 грн,101993
38,Audi e-tron Sportback 2021  Edition One 55 E-CVT 95kWh (408 к.с.) Quattro,Електро,Електро,Автомат,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-e-tron-sportback-1861090.html,2 838 080 грн,103380
39,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Одеса,https://auto.ria.com/newauto/auto-audi-q7-1859908.html,2 542 249 грн,92019
40,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Одеса,https://auto.ria.com/newauto/auto-audi-q7-1859908.html,2 542 249 грн,92019
41,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1833749.html,4 820 645 грн,174488
42,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Дніпро (Дніпропетровськ),https://auto.ria.com/newauto/auto-audi-rs-q8-1861001.html,4 169 895 грн,150469
43,Audi Q7 2020  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1860456.html,2 722 134 грн,98531
44,Audi A6 2021  Basis 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-a6-1858134.html,1 920 097 грн,69500
45,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1850829.html,4 820 645 грн,174488
46,Audi RS7 2021  S-Line Sportback 4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs7-1856926.html,4 640 159 грн,167956
47,Audi S8 2021  Basis 4.0 TFSI Tiptronic (571 л.c.) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s8-1826368.html,6 007 284 грн,217440
48,Audi A8 2021   L 50 TDI Tip-tronic (286 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Харків,https://auto.ria.com/newauto/auto-audi-a8-1860966.html,2 402 913 грн,86976
49,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Одеса,https://auto.ria.com/newauto/auto-audi-q7-1860981.html,2 488 751 грн,90083
50,Audi RS6 2021   4.0 TFSI S-tronic (600 к.с)  Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs6-1810400.html,4 911 499 грн,177777
51,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-q7-1861126.html,2 719 102 грн,99046
52,Audi A6 2020  Sport 45 TFSI S-tronic (245 к.с) Quattro,Бензин,2.0 л,Автомат,Повний привід,Харків,https://auto.ria.com/newauto/auto-audi-a6-1846671.html,1 702 064 грн,61608
53,Audi Q7 2021  Individual 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-q7-1861135.html,2 487 341 грн,90604
54,Audi Q7 2021  Individual 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-q7-1861128.html,2 598 317 грн,94646
55,Audi Q5 2021  S-Line 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q5-1860768.html,1 986 976 грн,71921
56,Audi Q7 2021  Individual 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Запоріжжя,https://auto.ria.com/newauto/auto-audi-q7-1861153.html,2 489 350 грн,90677
57,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1836842.html,4 839 167 грн,175159
58,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1833746.html,5 606 765 грн,202943
59,Audi S6 2020  Basis 3.0 TDI Tiptronic (349 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s6-1851165.html,2 369 540 грн,85768
