,title,engine_fuel,engine_volume,transmition,drive_unit,region,link,price_uan,price_usd
0,Audi S6 2020  Basis 3.0 TDI Tiptronic (349 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s6-1861795.html,3 109 136 грн,112969
1,Audi Q7 2021  Basis 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1861727.html,2 734 919 грн,99372
2,Audi Q8 2021  S-Line 55 TFSI Tip-tronic (340 к.с) Quattro,Бензин,3.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q8-1861720.html,2 980 416 грн,108292
3,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1860578.html,4 911 499 грн,177777
6,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1861232.html,2 500 271 грн,90500
7,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1861237.html,2 519 610 грн,91200
11,Audi Q7 2021  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1861235.html,2 445 016 грн,88500
15,Audi SQ7 2021  Basis 4.0 TFSI Tip-tronic (507 к.с) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-sq7-1861456.html,3 714 325 грн,134444
16,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1856847.html,6 641 386 грн,240392
26,Audi Q3 2021  S-Line 35 TFSI S-tronic (150 к.с),Бензин,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-audi-q3-1861582.html,1 478 061 грн,53500
28,Audi SQ8 2021  Basis 4.0 TDI Tiptronic (435 к.с) Quattro,Дизель,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-sq8-1824568.html,4 839 201 грн,175160
29,Audi Q2 2021   35 TFSI S-Tronic (150 к.с),Бензин,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-audi-q2-1861653.html,1 353 308 грн,48984
30,Audi S8 2021  Basis 4.0 TFSI Tiptronic (571 л.c.) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s8-1861644.html,4 082 216 грн,147760
35,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1856719.html,6 674 726 грн,241599
36,Audi SQ7 2021  Basis 4.0 TDI Tip-tronic (435 к.с) Quattro,Дизель,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-sq7-1833752.html,5 106 158 грн,184823
41,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1833749.html,4 820 645 грн,174488
43,Audi Q7 2020  S-Line 50 TDI 3.0 Tiptronic (286 к.с) Quattro,Дизель,3.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q7-1860456.html,2 722 134 грн,98531
44,Audi A6 2021  Basis 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-a6-1858134.html,1 920 097 грн,69500
45,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1850829.html,4 820 645 грн,174488
46,Audi RS7 2021  S-Line Sportback 4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs7-1856926.html,4 640 159 грн,167956
47,Audi S8 2021  Basis 4.0 TFSI Tiptronic (571 л.c.) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s8-1826368.html,6 007 284 грн,217440
50,Audi RS6 2021   4.0 TFSI S-tronic (600 к.с)  Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs6-1810400.html,4 911 499 грн,177777
55,Audi Q5 2021  S-Line 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q5-1860768.html,1 986 976 грн,71921
57,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1836842.html,4 839 167 грн,175159
58,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1833746.html,5 606 765 грн,202943
59,Audi S6 2020  Basis 3.0 TDI Tiptronic (349 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s6-1851165.html,2 369 540 грн,85768
61,Audi S6 2021  Basis 3.0 TDI Tiptronic (349 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s6-1861652.html,2 895 411 грн,104803
62,Audi Q5 2021  Basis 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q5-1859594.html,2 020 350 грн,73129
63,Audi e-tron 2021  Advanced 95kWh (408 к.с) Quattro,Електро,Електро,Варіатор,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-e-tron-1838125.html,3 003 608 грн,108719
64,Audi A7 2021  S-Line Sportback 45 TFSI S-tronic (245 к.с) Quattro,Бензин,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-a7-1860291.html,2 310 234 грн,83621
65,Audi SQ8 2021  Basis 4.0 TDI Tiptronic (435 к.с) Quattro,Дизель,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-sq8-1861328.html,4 637 957 грн,167876
68,Audi A8 2021   L 50 TDI Tip-tronic (286 к.с) Quattro,Дизель,3.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-a8-1834106.html,3 003 642 грн,108720
69,Audi SQ7 2021  Basis 4.0 TDI Tip-tronic (435 к.с) Quattro,Дизель,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-sq7-1819161.html,5 206 279 грн,188447
70,Audi Q5 2021  S-Line 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q5-1860769.html,1 986 976 грн,71921
71,Audi RS7 2021  S-Line Sportback 4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs7-1853949.html,5 673 512 грн,205359
73,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1860414.html,4 996 391 грн,180850
74,Audi RS Q8 2021  Individual 4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1831393.html,4 839 167 грн,175159
75,Audi S8 2020  Basis 4.0 TFSI Tiptronic (571 л.c.) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s8-1832523.html,6 340 988 грн,229519
76,Audi RS Q8 2021   4.0 TFSI S-tronic (600 л.c.) Quattro,Бензин,4.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs-q8-1833744.html,5 339 774 грн,193279
77,Audi SQ7 2021  Basis 4.0 TFSI Tip-tronic (507 к.с) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-sq7-1833751.html,4 338 560 грн,157039
79,Audi RS7 2021  Plus 4.0 TFSI Tip-tronic (605 л.c.) Quattro Performance,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-rs7-1822063.html,5 339 774 грн,193279
80,Audi SQ8 2021  Basis 4.0 TDI Tiptronic (435 к.с) Quattro,Дизель,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-sq8-1833736.html,4 820 645 грн,174488
82,Audi R8 2020  Basis 5.2i Performance S-tronic (610 к.с) Quattro,Бензин,5.2 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-r8-1835912.html,7 842 809 грн,283879
83,Audi R8 2020  Basis 5.2i Performance S-tronic (610 к.с) Quattro,Бензин,5.2 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-r8-1835913.html,8 677 154 грн,314079
84,Audi R8 2020  Basis 5.2i Performance S-tronic (610 к.с) Quattro,Бензин,5.2 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-r8-1835914.html,8 343 416 грн,301999
85,Audi Q5 2021  Basis 40 TDI S-tronic (204 к.с) Quattro,Дизель,2.0 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-q5-1858487.html,2 220 592 грн,80377
86,Audi S8 2020  Basis 4.0 TFSI Tiptronic (571 л.c.) Quattro,Бензин,4.0 л,Тіптронік,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-s8-1838895.html,6 174 119 грн,223479
87,Audi R8 2020  Basis 5.2i Performance S-tronic (610 к.с) Quattro,Бензин,5.2 л,Автомат,Повний привід,Київ,https://auto.ria.com/newauto/auto-audi-r8-1835908.html,8 009 678 грн,289919
