,title,engine_fuel,engine_volume,transmition,drive_unit,region,link,price_uan,price_usd
2,Citroen Berlingo пасс. 2021  Rip Curl 1.5 BlueHDi AT (130 к.с) L1,Дизель,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1860401.html,817 980 грн,29608
10,Citroen C5 Aircross 2020  Feel 2.0 BHDi AT (180 к.с),Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-c5-aircross-1861007.html,833 280 грн,30161
26,Citroen Space Tourer 2020  Feel 2.0 HDi AT (150 к.с) L2,Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-space-tourer-1857594.html,1 186 590 грн,42950
31,Citroen Space Tourer 2020  Feel 2.0 BlueHDi AT (180 к.с) L2,Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-space-tourer-1857229.html,1 186 590 грн,42950
45,Citroen Space Tourer 2020  Business 2.0 BlueHDi AT (180 к.с) L3 Lounge,Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-space-tourer-1857194.html,42 154 $,42154
72,Citroen Berlingo пасс. 2021  Feel 1.5 BlueHDi AT (130 к.с) L2,Дизель,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1847211.html,758 000 грн,27437
73,Citroen C5 Aircross 2021  Feel Pack 2.0 BHDi AT (180 к.с),Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-c5-aircross-1845886.html,845 700 грн,30611
90,Citroen C5 Aircross 2020  Shine 2.0 BHDi AT (180 к.с),Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-c5-aircross-1860130.html,910 100 грн,32942
101,Citroen Berlingo пасс. 2021  Rip Curl 1.5 BlueHDi AT (130 к.с) L1,Дизель,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1860590.html,813 000 грн,29427
112,Citroen C3 Aircross 2021  Shine 1.5 BlueHDi AT (120 к.с) S&S,Дизель,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-c3-aircross-1860621.html,718 000 грн,25989
115,Citroen C3 Aircross 2021  Shine 1.5 BlueHDi AT (120 к.с) S&S,Дизель,1.5 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-c3-aircross-1860620.html,700 000 грн,25337
128,Citroen C5 Aircross 2021  Feel Pack 2.0 BHDi AT (180 к.с),Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-c5-aircross-1850197.html,845 700 грн,30611
139,Citroen C5 Aircross 2020  Shine Pack 2.0 BHDi AT (180 к.с),Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-c5-aircross-1860888.html,901 111 грн,32617
141,Citroen C5 Aircross 2021  Feel Pack 2.0 BHDi AT (180 к.с),Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-c5-aircross-1844525.html,845 700 грн,30611
145,Citroen Space Tourer 2021  Feel 2.0 BlueHDi AT (180 к.с) L3,Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-space-tourer-1845369.html,1 239 200 грн,44854
161,Citroen C5 Aircross 2021  Feel Pack 2.0 BHDi AT (180 к.с),Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-c5-aircross-1853724.html,845 700 грн,30611
164,Citroen C5 Aircross 2020  Shine Pack 2.0 BHDi AT (180 к.с),Дизель,2.0 л,Автомат,Передній привід,Київ,https://auto.ria.com/newauto/auto-citroen-c5-aircross-1856199.html,990 000 грн,35834
